reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
cd73d96e-22bf-4e78-a61f-be00a3d1860b,Cep Abdulghapur,https://play-lh.googleusercontent.com/a/ACg8ocIO4RzHnHNPPxAleAI84JOlHmf_ZUBhIn2h5mwf_ATj6qBD0w=mo,"Ribet amat dan gak ada solusi buat bikin Brimo,,mending bikin bank digital lain nya,,aman nyaman dan tidak ribet seperti Brimo",1,0,2.91.0,2025-12-13 12:16:54,"Hai Sobat BRI, mohon maaf atas ketidaknyamanannya. Registrasi BRImo dapat dilakukan apabila data-data yang dimasukkan sesuai dengan data rekening. Guna pengecekan, mohon disampaikan respons atau kode gagal yang diterima melalui email callbri@bri.co.id. Tks~Risa",2025-12-13 12:38:04,2.91.0
f63fce42-ef14-4d5a-9497-8c959943e54f,Menolak Dijajah,https://play-lh.googleusercontent.com/a/ACg8ocLRvRVlFJPcq0l1Uni1h0GxKXMpd7GEIhZYMThPdQi4O5ApXw=mo,"Semakin menjadi menjijikan ini MBanking, banyak iklan gak jelas. Dikirain ada transaksi masuk, eh gak taunya iklan dongo gak jelas. Kalo mau ngasih info produk mah di dalam aplikasinya aja udah gak usah scam dijadikan notifikasi. Nggak penting juga kalo selain notif keamanan. Aneh nih bank? Anda ini bukan ecomers woi sadar! Bisanya minta maaf doang.",1,1,2.91.0,2025-12-13 12:06:48,"Hai Sobat BRI, mohon maaf atas ketidaknyamanannya. Kami sampaikan notifikasi BRImo bertujuan untuk memberikan informasi produk atau promo BRI dan edukasi terkait indikasi penipuan ya. Sobat BRI dapat nonaktifkan notifikasi pop up aplikasi BRImo pada ponsel yang digunakan. Tks~Hiro",2025-11-01 17:49:29,2.91.0
85b532bc-a6c4-4406-8856-3b60104ba085,Muhd Yahya,https://play-lh.googleusercontent.com/a/ACg8ocLnzpYw8MaXkggc5tA04J4Zr2-pbM7o1-uoaQIlNySvpXcX3Q=mo,"saldo tiba tiba hilang, cs tidak satupun bisa dihubungi",1,0,2.90.0,2025-12-13 12:04:05,"Hai Sobat BRI, mohon maaf atas ketidaknyamanannya terkait saldo rekening yang berkurang. Saldo rekening akan berkurang jika digunakan untuk transaksi, memiliki pinjaman atau autodebet rekening. Apabila saldo berkurang tidak melakukan transaksi, silakan melakukan pembuatan laporan dengan menghubungi Contact BRI 1500017. Tks~Risa",2025-12-13 12:36:13,2.90.0
9e6d0afb-0ea8-4478-9476-0557e67c35c9,Rifail Kholim,https://play-lh.googleusercontent.com/a-/ALV-UjVl2KqSMymQ0L5WUtcTpT4JdpYFfF6KK27Rb3C7GL8rAxOys2o,"yang ngasih bintang 5 udah jelas cuman karyawan,, BRI ni cacat layanan",1,0,,2025-12-13 11:34:37,"Hai Sobat BRI, mohon maaf atas ketidaknyamanannya. Apabila ada kendala yang dialami, silakan kirimkan detail kendala melalui email callbri@bri.co.id. Tks~Risa",2025-12-13 12:12:53,
eb29f8c8-a4d2-4be9-a6f3-2e593083002d,Fandy Deadcore,https://play-lh.googleusercontent.com/a-/ALV-UjWFadyn2IhoWYNvQAcmeXXYxmEwDzah_-Hw7DOArNA68JC9mw3CNw,"aplikasi sok paling sop, susah bgt daftar doang berkali2 udh 2 hari daftar masih enggak bisa, dri mulai kode otp dri email, foto ktp yg selalu tidak valid, vermuk juga selalu gagal, kenapa enggak kyk bank swasta aja sih ribet bgt sumaph",1,0,2.91.0,2025-12-13 10:59:19,"Hai Sobat BRI, mohon maaf atas kendala yang dialami. Untuk tindak lanjut, silakan kirimkan detail kendala melalui email callbri@bri.co.id. Tks~Fira",2025-12-13 11:24:11,2.91.0
3aba0aaf-39d8-4810-95bf-d4209151f909,Cucun Ninis,https://play-lh.googleusercontent.com/a/ACg8ocKKHBa8QbvDHgTy2EYU4EFb6gnaBreRsmS0w-0VKzP6ff43oA=mo,kurang puas habis di keluarkan aplikasi nya knp harus menggunakan verifikasi lagi berulang kali,1,0,2.91.0,2025-12-13 10:49:14,"Hai Sobat BRI, mohon maaf atas kendala yang dialami. Untuk tindak lanjut, silakan kirimkan detail kendala melalui email callbri@bri.co.id. Tks~Fira",2025-12-13 10:55:26,2.91.0
1b1c6362-255e-4f39-8032-3e7e00e9a2e5,Oji Harfiandra,https://play-lh.googleusercontent.com/a-/ALV-UjUmceLZ-l3MQ1eMjnzi9Obq29CuGOGsQ6EURLcrOt-Eb3D3ZmG2,aplikasi nya error setiap kali buat akun nasabah baru saat membuat pin terjadi masalah pada sistem (LADCS) padahal data diri sudah benar & tidak kunjung di perbaiki setiap jam riset saya selalu coba tapi sama saja,1,0,2.91.0,2025-12-13 10:26:53,"Hai Sobat BRI, mohon maaf atas kendala yang dialami. Untuk tindak lanjut, silakan kirimkan detail kendala melalui email callbri@bri.co.id. Tks~Fira",2025-12-13 10:57:35,2.91.0
6361334e-afbb-448b-8f90-f931d7ecfcce,Saubari Rahman,https://play-lh.googleusercontent.com/a-/ALV-UjVztdVlAdQo9sz9zHcYKRB5M9RwvHOL9RRyJGzd0YVt6qUnJe5c,"lama kelamaan bikin susah aplikasi ini. karena 3 kali salah masukin pasword kena blokir mau buka blokir menggunakan lupa password atau username ga bisa bisa, padahal data yang dimasukkan benar semua ga ada kesalahan tetap aja ga bisa, malah bilang data akun tidak sesuai.",1,0,2.91.0,2025-12-13 10:01:18,"Hai Sobat BRI, mohon maaf atas kendala yang dialami. Kami sampaikan, login aplikasi BRImo dapat dilakukan menggunakan username dan password yang dimiliki telah sesuai. Guna pengecekan, silakan kirimkan detail kendala melalui email callbri@bri.co.id. Tks~Risa",2025-12-13 10:36:42,2.91.0
90173746-e9c2-42e4-8c1b-cdd1380779a9,Ath Laundry,https://play-lh.googleusercontent.com/a/ACg8ocLQwidy6-uIaIeRvl88HJXY2Z4KpCNwg_0bCICrbY6OKN4DCw=mo,"setiap mau log in sesi anda telah berakhir trus ,,aneh beut log in berkali kali tapi kaga bisa bisa",1,0,,2025-12-13 09:03:55,"Hai Sobat BRI, mohon maaf atas kendala BRImo yang dialami. Kami sarankan melakukan clear cache pada pengaturan ponsel yang digunakan. Apabila masih mengalami kendala, silakan kirimkan detail kendala melalui email callbri@bri.co.id. Tks~Risa",2025-12-13 09:29:39,
cc60f68c-8570-4b5a-bab1-191338f69d70,Harry Purwanto,https://play-lh.googleusercontent.com/a-/ALV-UjUg3INQTyXSFSxxiIDl29VvGzqbZJZlL22rxS_cGeR3jv3uDT0,"kenapa tiba"" di Hp samsung galaxi A36 brimo g bisa di buka?? solusinya!?",2,0,,2025-12-13 07:56:39,"Hai Sobat BRI, mohon maaf atas kendala yang dialami. Untuk tindak lanjutnya, silakan kirimkan detail kendala melalui email callbri@bri.co.id. Tks~Ciska",2025-12-13 08:23:35,
